### Footprint positions - created on 2026-02-28T21:35:28+0700 ###
### Printed by KiCad version 9.0.1
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                       Package                                                         PosX       PosY       Rot  Side
TP6       TestPoint                 Pin_D1.3mm_L11.0mm                                          224.5700  -100.1900   90.0000  top
TP7       TestPoint                 Pin_D1.3mm_L11.0mm                                          261.3500  -104.3300   90.0000  top
TP8       TestPoint                 Pin_D1.3mm_L11.0mm                                          254.7100  -110.3200   90.0000  top
U1        STM32F103C8Tx             LQFP-48_7x7mm_P0.5mm                                        232.6450  -104.1800  -90.0000  top
U2        PC817X2NIPW               SOP254P960X380-4N                                            76.4754   -73.6600  180.0000  top
U3        PC817X2NIPW               SOP254P960X380-4N                                           109.3468   -73.6100  180.0000  top
U4        PC817X2NIPW               SOP254P960X380-4N                                           141.9432   -73.6900  180.0000  top
U5        PC817X2NIPW               SOP254P960X380-4N                                           174.6746   -73.4000  180.0000  top
U6        TD301M485                 TD301M485                                                   286.7000  -105.6500  -90.0000  top
U7        PC817X2NIPW               SOP254P960X380-4N                                            83.2625  -109.6725  180.0000  top
U8        PC817X2NIPW               SOP254P960X380-4N                                           100.1782  -109.3825  180.0000  top
U9        PC817X2NIPW               SOP254P960X380-4N                                           117.4039  -109.3525  180.0000  top
U10       PC817X2NIPW               SOP254P960X380-4N                                           134.3446  -109.7425  180.0000  top
U11       PC817X2NIPW               SOP254P960X380-4N                                           150.9504  -109.7225  180.0000  top
U12       PC817X2NIPW               SOP254P960X380-4N                                           167.5661  -109.7625  180.0000  top
U13       PC817X2NIPW               SOP254P960X380-4N                                           184.2418  -109.7725  180.0000  top
U14       PC817X2NIPW               SOP254P960X380-4N                                           200.8775  -109.8025  180.0000  top
U15       PC817X2NIPW               SOP254P960X380-4N                                           207.4311   -73.5600  180.0000  top
U16       PC817X2NIPW               SOP254P960X380-4N                                           240.0975   -73.5675  180.0000  top
U17       PC817X2NIPW               SOP254P960X380-4N                                           272.7939   -73.6000  180.0000  top
U18       PC817X2NIPW               SOP254P960X380-4N                                           305.7204   -73.8050  180.0000  top
Y1        8MHz                      Crystal_HC49-4H_Vertical                                    228.5300   -87.9000    0.0000  top
Y2        32.768_KHz                Crystal_C38-LF_D3.0mm_L8.0mm_Horizontal                     240.7300   -89.9600  180.0000  top
## End
